source,target
Argolid,Picenum
Argolid,Colchis
Argolid,Sorrentum
Argolid,Reate
Argolid,Red Sea
Tigris,Athens
Tigris,Phaleron
Tigris,Aquileia
Tigris,Asphaltis
Tigris,Judea
Tigris,Armenia
Tigris,Manduria
Tigris,Picenum
Tigris,Colchis
Tigris,Sorrentum
Tigris,Reate
Tigris,Red Sea
Athens,Phaleron
Athens,Aquileia
Athens,Asphaltis
Athens,Judea
Athens,Armenia
Athens,Manduria
Athens,Picenum
Athens,Colchis
Athens,Sorrentum
Athens,Reate
Athens,Red Sea
Phaleron,Aquileia
Phaleron,Asphaltis
Phaleron,Judea
Phaleron,Armenia
Phaleron,Manduria
Phaleron,Picenum
Phaleron,Colchis
Phaleron,Sorrentum
Phaleron,Reate
Phaleron,Red Sea
Aquileia,Asphaltis
Aquileia,Judea
Aquileia,Armenia
Aquileia,Manduria
Aquileia,Picenum
Aquileia,Colchis
Aquileia,Sorrentum
Aquileia,Reate
Aquileia,Red Sea
Asphaltis,Judea
Asphaltis,Armenia
Asphaltis,Manduria
Asphaltis,Picenum
Asphaltis,Colchis
Asphaltis,Sorrentum
Asphaltis,Reate
Asphaltis,Red Sea
Judea,Armenia
Judea,Manduria
Judea,Picenum
Judea,Colchis
Judea,Sorrentum
Judea,Reate
Judea,Red Sea
Armenia,Manduria
Armenia,Picenum
Armenia,Colchis
Armenia,Sorrentum
Armenia,Reate
Armenia,Red Sea
Manduria,Picenum
Manduria,Colchis
Manduria,Sorrentum
Manduria,Reate
Manduria,Red Sea
Picenum,Colchis
Picenum,Sorrentum
Picenum,Reate
Picenum,Red Sea
Colchis,Sorrentum
Colchis,Reate
Colchis,Red Sea
Sorrentum,Reate
Sorrentum,Red Sea
Reate,Red Sea
Alps,Baiae
Alps,Italy
Alps,Ischia
Alps,Liris
Alps,Chelidoniae
Alps,Aradus
Alps,Cadiz
Alps,Pisa
Alps,Vetulonia
Alps,Etruria
Alps,Casinum
Alps,Stymphalis
Alps,Arcadia
Alps,Dodona
Alps,Illyria
Alps,Ammon
Alps,Trogodytis
Alps,Po
Alps,Tenedos
Alps,Delos
Alps,Nile
Alps,Apennines
Alps,Falerii
Alps,Melas
Alps,Boeotia
Alps,Cephisus
Alps,Peneus
Alps,Xanthus
Alps,Ilium
Alps,Black Sea
Alps,Reate
Alps,Brindisi
Alps,Lyncestis
Alps,Paphlagonia
Alps,Cales
Baiae,Italy
Baiae,Ischia
Baiae,Liris
Baiae,Chelidoniae
Baiae,Aradus
Baiae,Cadiz
Baiae,Pisa
Baiae,Vetulonia
Baiae,Etruria
Baiae,Casinum
Baiae,Stymphalis
Baiae,Arcadia
Baiae,Dodona
Baiae,Illyria
Baiae,Ammon
Baiae,Trogodytis
Baiae,Po
Baiae,Tenedos
Baiae,Delos
Baiae,Nile
Baiae,Apennines
Baiae,Falerii
Baiae,Melas
Baiae,Boeotia
Baiae,Cephisus
Baiae,Peneus
Baiae,Xanthus
Baiae,Ilium
Baiae,Black Sea
Baiae,Reate
Baiae,Brindisi
Baiae,Lyncestis
Baiae,Paphlagonia
Baiae,Cales
Italy,Ischia
Italy,Liris
Italy,Chelidoniae
Italy,Aradus
Italy,Cadiz
Italy,Pisa
Italy,Vetulonia
Italy,Etruria
Italy,Casinum
Italy,Stymphalis
Italy,Arcadia
Italy,Dodona
Italy,Illyria
Italy,Ammon
Italy,Trogodytis
Italy,Po
Italy,Tenedos
Italy,Delos
Italy,Nile
Italy,Apennines
Italy,Falerii
Italy,Melas
Italy,Boeotia
Italy,Cephisus
Italy,Peneus
Italy,Xanthus
Italy,Ilium
Italy,Black Sea
Italy,Reate
Italy,Brindisi
Italy,Lyncestis
Italy,Paphlagonia
Italy,Cales
Ischia,Liris
Ischia,Chelidoniae
Ischia,Aradus
Ischia,Cadiz
Ischia,Pisa
Ischia,Vetulonia
Ischia,Etruria
Ischia,Casinum
Ischia,Stymphalis
Ischia,Arcadia
Ischia,Dodona
Ischia,Illyria
Ischia,Ammon
Ischia,Trogodytis
Ischia,Po
Ischia,Tenedos
Ischia,Delos
Ischia,Nile
Ischia,Apennines
