source,target
City of the Sun,Amasis
City of the Sun,Memnon (s. of Tithonus)
City of the Sun,Osiris
Adiabene,Calliope (d. of Zeus)
Adiabene,"Alexander III, the Great (general)"
Cordueni,Calliope (d. of Zeus)
Cordueni,"Alexander III, the Great (general)"
Tigris,Calliope (d. of Zeus)
Tigris,"Alexander III, the Great (general)"
Caspian Gates,Calliope (d. of Zeus)
Caspian Gates,"Alexander III, the Great (general)"
Parthia,Calliope (d. of Zeus)
Parthia,"Alexander III, the Great (general)"
Parthia,Calliope (d. of Zeus)
Parthia,"Alexander III, the Great (general)"
Media,Calliope (d. of Zeus)
Media,"Alexander III, the Great (general)"
Parthia,Calliope (d. of Zeus)
Parthia,"Alexander III, the Great (general)"
Caspian Gates,Calliope (d. of Zeus)
Caspian Gates,"Alexander III, the Great (general)"
Parthia,Calliope (d. of Zeus)
Parthia,"Alexander III, the Great (general)"
Cyrus,Calliope (d. of Zeus)
Cyrus,"Alexander III, the Great (general)"
Caspian Gates,Calliope (d. of Zeus)
Caspian Gates,"Alexander III, the Great (general)"
Caspian Gates,Calliope (d. of Zeus)
Caspian Gates,"Alexander III, the Great (general)"
India,Calliope (d. of Zeus)
India,"Alexander III, the Great (general)"
Margiane,"Alexander III, the Great (general)"
Margiane,"Antiochus, Antiochos (misc)"
Margiane,Seleucus I Nicator s. Antiochus
Margiane,Margos
Margiane,Orodes
Margiane,Crassus
Margiane,"Alexander III, the Great (general)"
Margiane,"Antiochus, Antiochos (misc)"
Margiane,"Ochus, Ochos"
Margiane,"Alexander III, the Great (general)"
Margiane,"Heracles (s. of Zeus), Hercules"
Margiane,"Dionysus (s. of Zeus), Bacchus"
Margiane,Cyrus (kings of Persia)
Margiane,Semiramis
Margiane,"Alexander III, the Great (general)"
Margiane,"Alexander III, the Great (general)"
Margiane,Demodamas (geographer)
Margiane,Seleucus I Nicator s. Antiochus
Margiane,"Antiochus, Antiochos (misc)"
Margiane,Apollo (s. of Zeus) (cf Phoebus)
Parthia,"Alexander III, the Great (general)"
Parthia,"Antiochus, Antiochos (misc)"
Parthia,Seleucus I Nicator s. Antiochus
Parthia,Margos
Parthia,Orodes
Parthia,Crassus
Parthia,"Alexander III, the Great (general)"
Parthia,"Antiochus, Antiochos (misc)"
Parthia,"Ochus, Ochos"
Parthia,"Alexander III, the Great (general)"
Parthia,"Heracles (s. of Zeus), Hercules"
Parthia,"Dionysus (s. of Zeus), Bacchus"
Parthia,Cyrus (kings of Persia)
Parthia,Semiramis
Parthia,"Alexander III, the Great (general)"
Parthia,"Alexander III, the Great (general)"
Parthia,Demodamas (geographer)
Parthia,Seleucus I Nicator s. Antiochus
Parthia,"Antiochus, Antiochos (misc)"
Parthia,Apollo (s. of Zeus) (cf Phoebus)
Antiochia,"Alexander III, the Great (general)"
Antiochia,"Antiochus, Antiochos (misc)"
Antiochia,Seleucus I Nicator s. Antiochus
Antiochia,Margos
Antiochia,Orodes
Antiochia,Crassus
Antiochia,"Alexander III, the Great (general)"
