Id,Label
Artemita,Artemita
Tymphaei,Tymphaei
Atrax,Atrax
Calydon,Calydon
Evenus,Evenus
Macynia,Macynia
Molycria,Molycria
Chalcis,Chalcis
Taphiassus,Taphiassus
Corinthian Gulf,Corinthian Gulf
Rhion,Rhion
Naupactus,Naupactus
Pylene,Pylene
Pleuron,Pleuron
Halicyrna,Halicyrna
Crania,Crania
Aracynthus,Aracynthus
Locri surnamed Ozolae,Locri surnamed Ozolae
Oianthe,Oianthe
Phaestum,Phaestum
Cirrha,Cirrha
Chalaeon,Chalaeon
Parnassus,Parnassus
Castalia,Castalia
Lilaea,Lilaea
Crissa,Crissa
Anticyra,Anticyra
Amphissa,Amphissa
Tithrone,Tithrone
Tritea,Tritea
Ambrysus,Ambrysus
Drymaea,Drymaea
Daulis,Daulis
Siphae,Siphae
Corsian,Corsian
Helicon,Helicon
Pagae,Pagae
Aegean,Aegean
Saronic,Saronic
Lecheae,Lecheae
Cenchreae,Cenchreae
canal,canal
Corinth,Corinth
Acrocorinthus,Acrocorinthus
Patrae,Patrae
Olyros,Olyros
Pellene,Pellene
Sikyon,Sikyon
Aegira,Aegira
Aegium,Aegium
Erineos,Erineos
Kleonai,Kleonai
Hysiae,Hysiae
Panormus,Panormus
Rhium,Rhium
Pherae,Pherae
Olenum,Olenum
Dyme,Dyme
Buprasium,Buprasium
Hyrmine,Hyrmine
Araxus,Araxus
Cyllene,Cyllene
Chelonates,Chelonates
Pheia,Pheia
Araethyrea,Araethyrea
Ichthys,Ichthys
Aulon,Aulon
Leprion,Leprion
Platanodes,Platanodes
Cyparissa,Cyparissa
Pylos,Pylos
Methone,Methone
Helos,Helos
Acritas,Acritas
Asine,Asine
Corone,Corone
Taenarum,Taenarum
Pamisus,Pamisus
Messene,Messene
Ithome,Ithome
Oichalia,Oichalia
Arene,Arene
Pteleon,Pteleon
Thryon,Thryon
Dorion,Dorion
Amyclae,Amyclae
Leuctra,Leuctra
Theramne,Theramne
Cardamyle,Cardamyle
Pitane,Pitane
Anthea,Anthea
Thyrea,Thyrea
Gerenia,Gerenia
Eurotas,Eurotas
Psamathus,Psamathus
Gytheum,Gytheum
Malea,Malea
Argolic Gulf,Argolic Gulf
Boea,Boea
Epidaurus surnamed Limera,Epidaurus surnamed Limera
Zarax,Zarax
Cyphanta,Cyphanta
Inachus,Inachus
Lerna,Lerna
Mycenae,Mycenae
Tiryns,Tiryns
Mantinea,Mantinea
Artemius,Artemius
